Id,Title,Solved?,Author,Difficulty,Liked,Disliked,Like-Dislike
12981,Iteration - No breathing,,Engr101HTW,1.83,2,-1,1
12980,Engr 101 G8 iteration,,_Group_8,1.11,5,-3,2
12979,Hollow Turkey,,group10,1.75,1,-2,-1
12978,Taunting Smile,,group10,1.75,2,-1,1
12977,Quilted Pattern,,Toast_,2.00,0,-1,-1
12976,strelitzia 2,,strelitzia,1.43,2,-1,1
12975,strelitzia1,,strelitzia,1.43,2,-1,1
12974,"ENGR101: Selection, Iteration and Function calls!",,KASA,2.25,1,-1,0
12973,Go Back,,engr101group,3.00,1,0,1
12972,The Road to Madness,,axorion,?,0,0,0
12971,Labyrinth,,2pm_group3_uic,2.00,4,0,4
12970,Monolithic Stack,,2pm_group3_uic,1.44,3,-1,2
12969,Will the call stack be on the test?,,axorion,2.33,6,0,6
12968,FunctionPuzzle,,Engr101HTW,1.22,2,-3,-1
12967,CombinationPuzzle,,Engr101HTW,1.75,4,-1,3
12966,Iteration + Function ,,group4,1.57,4,-1,3
12965,Simple Function Calls,,group5,1.67,3,-1,2
12964,All 3 Elements,,beta,1.67,4,-1,3
12963,Iteration Puzzle ESP101,,beta,1.57,1,-1,0
12962,Iteration,,group5,1.67,4,-2,2
12961,Painted into a corner,,group3_uic,2.50,3,0,3
12960,Group 1: Iteration,,uic_group1,1.57,6,-1,5
12959,function call puzzle,,uic_group1,1.83,3,0,3
12958,+,,group3_uic,1.33,5,-1,4
12957,Brine Tank,,MDI_ENGR101,1.83,2,-1,1
12956,Brine Tank,,MDI_ENGR101,1.50,0,-1,-1
12955,Brine Tank,,MDI_ENGR101,1.80,3,-1,2
12954,RGB Squares ,,group10,1.14,3,-1,2
12953,Mariposa Metirozzaaa,,uic_engr101,2.50,1,-1,0
12952,Keep on the path,,ptroy,1.17,2,-1,1
12951,Sergio Has Fallen,,uic_engr101,1.50,3,-1,2
12950,Selection Puzzle,,Engr101HTW,1.25,2,-1,1
12949,Group2 ENGR 101,,garyzhangxd,1.00,0,-3,-3
12948,Group2 ENGR 101,,garyzhangxd,1.00,4,-3,1
12947,Iteration+function call,,garyzhangxd,1.13,3,-3,0
12946,Ismael Puzzle,,uic_engr101,1.00,7,-3,4
12945,Puzzle iteration ,,uic_engr101,2.00,1,-2,-1
12944,Puzzle iteration ,,uic_engr101,1.13,5,-3,2
12943,Puzzle 1,,uic_engr101,1.50,1,-2,-1
12942,Hot Summer Day,,MDI_ENGR101,1.50,1,-2,-1
12941,Heart,,LidiaFabregas,1.00,8,-3,5
12940,Learning To use loops,,snehil,1.11,4,-2,2
12939,Cup,,MDI_ENGR101,1.38,1,-1,0
12938,THE STAR MAZE,,snehil,2.00,3,-1,2
12937,The chamber of secrets,,group10,2.17,3,-1,2
12936,"""Cross""",,group10,1.40,2,0,2
12935,Patriotic Ribbon,,group10,1.00,4,-2,2
12934,Mainly on functions,,group10,2.00,2,-1,1
12933,ENGR 101 Sample,,ptroy,1.43,4,-2,2
12932,The Red Tailed Puzzle,,axorion,?,0,0,0
12931,what do I have to do?,,_jounes,2.33,3,-1,2
12930,Happy Christmas,,Denyvoda ,2.83,5,0,5
12929,Notched,,axorion,2.80,3,0,3
12928,So simple,,LidiaFabregas,1.50,5,-2,3
12927,4x4,,mkp777,2.13,5,-1,4
12926,Ocho,,LidiaFabregas,1.18,5,-3,2
12925,dá para pegar essa estrela!!!,,Vinicius2608,1.50,3,-1,2
12924,zumbizinho,,Vinicius2608,1.05,15,-7,8
12923,O nove das estrelas,,Vinicius2608,1.18,7,-3,4
12921,Súper Fác,,LidiaFabregas,1.05,13,-7,6
12920,Cazando Estrellas,,LidiaFabregas,1.36,5,-1,4
12919,La mejor Escaladora,,LidiaFabregas,1.00,15,-6,9
12918,Demasiadas Estrellas,,LidiaFabregas,1.19,6,-3,3
12917,erm its ez,,zyleak,1.24,9,-6,3
12916,����S�o,,zyleak,1.22,4,-3,1
12915,a porkchop from minecraft,,zyleak,1.50,4,-2,2
12914,lvl 2 why does this look like a bird somehow,,zyleak,1.44,4,-2,2
12913,Light edition of Color Line-Turning? ,,Denyvoda ,3.00,1,0,1
12912,Prime Generator (Sieve of Eratosthenes),,scorpio,5.00,1,0,1
12911,late stairs,,5joshi,1.56,3,-2,1
12910,Cumulative Complexity,,axorion,2.40,5,0,5
12909,O coraç�,,Vinicius2608,1.44,3,-5,-2
12908,alíe,,Vinicius2608,1.33,4,-2,2
12907,e muito facil,,Vinicius2608,1.56,6,-4,2
12906,Cobra,,Vinicius2608,1.50,5,-2,3
12905,o que que é isso,,Vinicius2608,1.33,8,-9,-1
12904,Odd & Even Tree Branches,,scorpio,3.00,5,0,5
12903,Circles is hard,,Denyvoda ,3.00,2,0,2
12902,Odd & Even Squares,,scorpio,3.00,1,0,1
12901,when you die of fall damage in a video game,,zyleak,1.43,11,-4,7
12900,this will hurt ur eyes dont hate me,,zyleak,1.45,6,-2,4
12899,Weirdness,,zyleak,1.50,5,-3,2
12898,Color Line,,padre,?,0,0,0
12897,Tree,,goshal,1.18,7,-2,5
12896,Don't be a square,,WrenTom,1.14,14,-7,7
12895,Bússol,,AnaLuiza,1.19,10,-1,9
12894,Descendo a escada,,VagnerPaulino,1.25,9,-8,1
12893,Slightly assymetric,,kraker ,2.33,2,0,2
12892,Bifurcation,,scorpio,3.00,1,0,1
12891,ZigZag,,WrenTom,1.26,25,-5,20
12890,Broken Bifurcation,,scorpio,4.00,1,0,1
12889,Depth tree,,scorpio,3.50,2,0,2
12888,Stairs Complicated!,,ajayjha25,1.78,6,-1,5
12887,Almost a square,,ppetrov,2.00,4,0,4
12886,a knife,,zyleak,1.32,17,-2,15
12885,i want to get a goal of 100 likes,,air111116,1.31,7,-6,1
12884,2 Star Puzzle,,WrenTom,1.25,9,-4,5
12883,ACEA Puzzle 2 MM,,aceamm,1.04,17,-5,12
12882,ACEA Puzzle 1 MM,,aceamm,1.24,8,-5,3
12881,First Try,,WrenTom,1.83,39,-2,37
12880,Turning? 1,,padre,2.50,3,0,3
12879,tic-tac-toe board,,Original_Doge,1.27,7,-1,6
12878,compter,,serge91,1.70,5,-1,4
12877,hi,,air111116,1.31,11,-5,6
12876,hi zyleak part 3,,air111116,1.42,8,-3,5
12875,when noobs are bad,,zyleak,1.31,7,-2,5
12874,PLZ STOP AIR,,zyleak,1.33,18,-3,15
12873,The red tulip,,zyleak,1.25,5,-2,3
12872,Maze,,serge91,2.00,3,0,3
12871,WWWhhhaaattt!!!,,padre,2.00,3,0,3
12870,Shades til it disappears,,BalanceBreaker,2.13,9,0,9
12869,EAZZZY!,,Original_Doge,1.10,18,-5,13
12868,A Different spiral,,Original_Doge,1.38,5,-1,4
12867,confusion?,,Original_Doge,1.50,5,-1,4
12866,chill.,,Original_Doge,1.27,7,-4,3
12865,loopy stairs,,Original_Doge,1.50,4,-1,3
12864,hi zyleak p.2,,air111116,1.40,6,-2,4
12863,air why you offensive ????,,zyleak,1.16,17,-3,14
12862,two colors,,zyleak,1.50,4,-1,3
12861,hi Zyleak,,air111116,1.05,16,-5,11
12860,more trolololol 2 - ft. a messed up plant,,zyleak,1.20,3,-4,-1
12859,this is the most ugly face in the world,,zyleak,1.17,6,-4,2
12858,Criss Cross Pie,,zyleak,1.22,5,-2,3
12857,choices 2,,Original_Doge,1.40,5,0,5
12856,Hashtag,,padre,2.25,1,0,1
12855,THE BIG CAVE!,,padre,2.33,1,0,1
12854,a spiral,,tijl,2.00,6,0,6
12853,Bunch of T's!,,ajayjha25,1.70,4,-1,3
12852,hypnotism,,Original_Doge,1.50,5,-2,3
12851,treacherous walk,,Original_Doge,1.20,10,-4,6
12850,choose,,Original_Doge,1.19,13,-3,10
12849,Annoying iteration,,Original_Doge,1.15,9,-2,7
12848,branches,,Original_Doge,1.18,8,-2,6
12847,This is easy,,tijl,1.30,8,-1,7
12846,???,,tijl,1.56,5,-1,4
12845,Zyleak I am coming!!!,,air111116,1.29,11,-7,4
12844,tunnels,,zyleak,1.18,5,-3,2
